BRAND,STATE,TALUKA,DISTRICT,COUNTER_CODE,LAT,LONG,COUNTER_POTENTIAL
ROCKSTRONG,Delhi,ROHINI,DELHI,173341,28.840164,77.082556,200
ROCKSTRONG,Delhi,ROHINI,DELHI,307837,28.795566,77.139368,250
ROCKSTRONG,Delhi,ROHINI,DELHI,847803,28.803575,77.0537272,50
ROCKSTRONG,Delhi,ROHINI,DELHI,698112,28.6824323,77.0579836,150
ROCKSTRONG,Delhi,ROHINI,DELHI,896458,28.710799,77.072713,250
ROCKSTRONG,Delhi,ROHINI,DELHI,889470,28.708381,77.07575,2000
ROCKSTRONG,Delhi,ROHINI,DELHI,832375,28.811502,77.071076,500
ROCKSTRONG,Delhi,ROHINI,DELHI,334357,28.7002491,77.0582628,1000
ROCKSTRONG,Delhi,ROHINI,DELHI,634885,28.6927353,77.0858617,350
ROCKSTRONG,Delhi,ROHINI,DELHI,683291,28.844446,77.089241,800
ROCKSTRONG,Delhi,ROHINI,DELHI,306497,28.8062522,77.051003,100
ROCKSTRONG,Delhi,ROHINI,DELHI,11796,28.7265312,77.0964462,100
ROCKSTRONG,Delhi,ROHINI,DELHI,847546,28.746733,77.094321,500
ROCKSTRONG,Delhi,ROHINI,DELHI,843584,28.702957,77.122542,4000
BANGUR,Delhi,SAKET,DELHI,90377,28.520217,77.205787,900
SHREE,Delhi,SARASWATI VIHAR,DELHI,288187,28.689498,77.130665,1800
SHREE,Delhi,SARASWATI VIHAR,DELHI,806987,28.689322,77.130174,250
SHREE,Delhi,SARITA VIHAR,DELHI,295042,28.4960534,77.3240858,250
SHREE,Delhi,SARITA VIHAR,DELHI,829031,28.5710545,77.2668008,1000
SHREE,Delhi,SARITA VIHAR,DELHI,834909,28.5837821,77.2478554,3000
SHREE,Delhi,SARITA VIHAR,DELHI,844887,28.5351381,77.2629875,200
SHREE,Delhi,SARITA VIHAR,DELHI,334403,28.5600653,77.2717642,75
SHREE,Delhi,SARITA VIHAR,DELHI,859846,28.5053734,77.3116215,4500
SHREE,Delhi,SARITA VIHAR,DELHI,895686,28.5080801,77.2323737,150
SHREE,Delhi,SARITA VIHAR,DELHI,1370,28.5105288,77.2297379,800
SHREE,Delhi,SARITA VIHAR,DELHI,858151,28.670913,77.307967,300
SHREE,Delhi,SARITA VIHAR,DELHI,799778,28.5175147,77.1783213,500
SHREE,Delhi,SARITA VIHAR,DELHI,634938,28.5802303,77.2488701,2000
SHREE,Delhi,SARITA VIHAR,DELHI,828575,28.5008113,77.2932828,700
SHREE,Delhi,SARITA VIHAR,DELHI,874183,28.4587575,77.1793262,500
SHREE,Delhi,SARITA VIHAR,DELHI,726410,28.594836,77.312136,150
SHREE,Delhi,SARITA VIHAR,DELHI,771567,28.5736253,77.2559612,50
SHREE,Delhi,SARITA VIHAR,DELHI,901650,28.533812,77.254208,25
SHREE,Delhi,SARITA VIHAR,DELHI,189750,28.491145,77.309916,200
SHREE,Delhi,SARITA VIHAR,DELHI,81977,28.616099,77.053488,300
SHREE,Delhi,SARITA VIHAR,DELHI,835139,28.5748479,77.2227379,750
SHREE,Delhi,SARITA VIHAR,DELHI,1922,28.662678,77.146658,400
SHREE,Delhi,SARITA VIHAR,DELHI,839017,28.556088,77.174104,2800
SHREE,Delhi,SARITA VIHAR,DELHI,654968,28.539712,77.230492,3000
SHREE,Delhi,SARITA VIHAR,DELHI,295005,28.694864,77.059668,75
SHREE,Delhi,SARITA VIHAR,DELHI,858154,28.670913,77.307967,200
SHREE,Delhi,SARITA VIHAR,DELHI,874350,28.5349,77.267988,150
SHREE,Delhi,SARITA VIHAR,DELHI,310480,28.5666972,77.2840159,1000
BANGUR,Delhi,SARITA VIHAR,DELHI,619639,28.550997,77.295758,1500
BANGUR,Delhi,SARITA VIHAR,DELHI,857807,28.5102495,77.2985884,1200
BANGUR,Delhi,SARITA VIHAR,DELHI,307191,28.5583429,77.294152,500
BANGUR,Delhi,SARITA VIHAR,DELHI,805472,28.5101237,77.3373691,300
BANGUR,Delhi,SARITA VIHAR,DELHI,888293,28.503845,77.183744,1500
BANGUR,Delhi,SARITA VIHAR,DELHI,836667,28.532668,77.314059,250
BANGUR,Delhi,SARITA VIHAR,DELHI,824366,28.496142,77.324367,300
BANGUR,Delhi,SARITA VIHAR,DELHI,9397,28.534143,77.277679,50
BANGUR,Delhi,SARITA VIHAR,DELHI,877045,28.540218,77.13088,250
