BRAND,STATE,TALUKA,DISTRICT,COLLECTED_ON,ADDRESS_BLOCK,COUNTER_CODE,COUNTER_NAME,COUNTER_TYPE,LAT,LONG,IS_SCL_COUNTER,IS_EXCLUSIVE_SHREE,IS_EXCLUSIVE_BANGUR,IS_EXCLUSIVE_ROCKSTRONG,SHREE_WHOLESALE,SHREE_RETAIL_SALE,BANGUR_RETAIL_SALE,BANGUR_WHOLESALE,ROCKSTRONG_RETAIL_SALE,ROCKSTRONG_WHOLESALE,ROUTE,TOTAL_RETAIL_SALES,TOTAL_WHOLESALE,COUNTER_ID
SHREE,Delhi,DWARKA,DELHI,11-07-2023,"SEC-14, DWARKA",61360,M.R. AGENCIES,Dealer,28.60093,77.03253,,,,,,,,,,,DWARKAShree1,4000,,101079
SHREE,Delhi,DWARKA,DELHI,12-07-2023,"UTTAM NAGAR, NEW DELHI",706087,MITTAL TRADING CO.,Dealer,28.61009,77.01854,,,,,,,,,,,DWARKAShree1,350,,101191
SHREE,Delhi,DWARKA,DELHI,13-07-2023,"MAIN ROAD, KAPASAHEDA",1992,"YADAV CEMENT STORE ,",Dealer,28.546259,77.09757,,,,,,,,,,,DWARKAShree4,1000,,101065
SHREE,Delhi,DWARKA,DELHI,14-07-2023,UTTAM NAGAR ,901655,GHANSHYAM GUPTA & CO,Dealer,28.61917172,77.05790581,,,,,,,,,,,DWARKAShree1,100,,101447
SHREE,Delhi,DWARKA,DELHI,15-07-2023,"NEAR DWARKA METRO STATION,DWRKA",111338,GOYAL SALES,Dealer,28.618384,77.024118,,,,,,,,,,,DWARKAShree1,1000,,101085
SHREE,Delhi,DWARKA,DELHI,16-07-2023,"NANHE PARK ,MATIYALA ROAD,UTTAM NAGAR",698052,SACHIN TRADERS,Dealer,28.618322,77.040024,,,,,,,,,,,DWARKAShree1,250,,101179
SHREE,Delhi,DWARKA,DELHI,17-07-2023,"1/5, TRILOK PURI",856040,SINGHAL ENTERPRISES,Dealer,28.612971,77.315315,,,,,,,,,,,DWARKAShree2,1000,,101356
SHREE,Delhi,DWARKA,DELHI,18-07-2023,"SEC-12, DWARKA",633844,GOYAL SALES CORPORATION,Dealer,28.594382,77.047718,,,,,,,,,,,DWARKAShree1,700,,101168
SHREE,Delhi,ALIPUR,DELHI,19-07-2023,BAKHTAWARPUR,86158,PRAGATI BUILDERS & SHUTTERING,Dealer,28.821809,77.169878,,,,,,,,,,,ALIPURShree1,700,,101082
SHREE,Delhi,ALIPUR,DELHI,20-07-2023,NARELA,868893,SANJAY BUILDING MATERIAL STORE,Dealer,28.844,77.089424,,,,,,,,,,,ALIPURShree2,1115,,101385
SHREE,Delhi,KOTWALI,DELHI,21-07-2023,LIBASPUR,886545,RADHA KRISHNA ENTERPRISES,Dealer,28.756729,77.139252,,,,,,,,,,,KOTWALIShree1,550,,101407
SHREE,Delhi,SHAHDRA,DELHI,22-07-2023,"B-414, MAIN MANDOLI ROAD, SHAHDARA",773692,CHB BUILDCARE PRIVATE LIMITED,Dealer,28.69462,77.301476,,,,,,,,,,,SHAHDRAShree2,6000,,101205
SHREE,Delhi,SHAHDRA,DELHI,23-07-2023,BALBIR NAGAR SHAHDARA ,900537,DURGA CEMENT TRADERS,Dealer,28.68277087,77.2914892,,,,,,,,,,,SHAHDRAShree3,500,,101422
SHREE,Delhi,SHAHDRA,DELHI,24-07-2023,1/4944 GALI NO 2 BALBIR NAGAR SHAHDARA ,896501,CEMENT CENTRE,Dealer,28.6853,77.2919,,,,,,,,,,,SHAHDRAShree3,500,,101424
SHREE,Delhi,SHAHDRA,DELHI,25-07-2023,SUBHASH PARK SHAHDARA,707074,GOEL BUILDING MATERIAL STORE,Dealer,28.678664,77.279737,,,,,,,,,,,SHAHDRAShree1,300,,101190
SHREE,Delhi,SHAHDRA,DELHI,26-07-2023,"BIHARI COLONY,MAIN ROAD, BOLA NATH NAGAR",881367,MAHADEV CEMENT AGENCY,Dealer,28.67057215,77.28474568,,,,,,,,,,,SHAHDRAShree1,400,,101401
SHREE,Delhi,SHAHDRA,DELHI,27-07-2023,Saboli,907284,HARVINDER RANA,Dealer,28.7047,77.30499,,,,,,,,,,,SHAHDRAShree2,60,,
SHREE,Delhi,KARAWAL NAGAR,DELHI,28-07-2023,1-2 PUSHKAR VIHAR MAIN 33FT ROAD PHASE -4 SHIV VIHAR KARAWAL NAGAR DELHI,853421,G.H BUILDERS,Dealer,28.7248265,77.2801284,,,,,,,,,,,KARAWAL NAGARShree2,500,,101347
